股票代码,错误原因
000681SH,市场错误: CSV标注为SH，实际为SZ
000685SH,市场错误: CSV标注为SH，实际为SZ
000688SH,市场错误: CSV标注为SH，实际为SZ
000802SH,市场错误: CSV标注为SH，实际为SZ
000852SH,市场错误: CSV标注为SH，实际为SZ
000856SH,市场错误: CSV标注为SH，实际为SZ
000858SH,市场错误: CSV标注为SH，实际为SZ
000863SH,市场错误: CSV标注为SH，实际为SZ
000690SH,市场错误: CSV标注为SH，实际为SZ
000869SH,市场错误: CSV标注为SH，实际为SZ
000692SH,市场错误: CSV标注为SH，实际为SZ
000819SH,市场错误: CSV标注为SH，实际为SZ
000695SH,市场错误: CSV标注为SH，实际为SZ
000905SH,市场错误: CSV标注为SH，实际为SZ
000693SH,股票代码000693在沪深A股标准库中不存在
000823SH,市场错误: CSV标注为SH，实际为SZ
000888SH,市场错误: CSV标注为SH，实际为SZ
000913SH,市场错误: CSV标注为SH，实际为SZ
000906SH,市场错误: CSV标注为SH，实际为SZ
000939SZ,股票代码000939在沪深A股标准库中不存在
000928SH,市场错误: CSV标注为SH，实际为SZ
000901SH,市场错误: CSV标注为SH，实际为SZ
000993SH,市场错误: CSV标注为SH，实际为SZ
000935SH,市场错误: CSV标注为SH，实际为SZ
000989SH,市场错误: CSV标注为SH，实际为SZ
000982SH,股票代码000982在沪深A股标准库中不存在
000987SH,市场错误: CSV标注为SH，实际为SZ
000933SH,市场错误: CSV标注为SH，实际为SZ
000932SH,市场错误: CSV标注为SH，实际为SZ
002220SZ,股票代码002220在沪深A股标准库中不存在
002231SZ,股票代码002231在沪深A股标准库中不存在
002260SZ,股票代码002260在沪深A股标准库中不存在
002280SZ,股票代码002280在沪深A股标准库中不存在
002288SZ,股票代码002288在沪深A股标准库中不存在
002308SZ,股票代码002308在沪深A股标准库中不存在
002325SZ,股票代码002325在沪深A股标准库中不存在
002336SZ,股票代码002336在沪深A股标准库中不存在
002341SZ,股票代码002341在沪深A股标准库中不存在
002359SZ,股票代码002359在沪深A股标准库中不存在
002411SZ,股票代码002411在沪深A股标准库中不存在
002417SZ,股票代码002417在沪深A股标准库中不存在
002435SZ,股票代码002435在沪深A股标准库中不存在
002433SZ,股票代码002433在沪深A股标准库中不存在
002447SZ,股票代码002447在沪深A股标准库中不存在
002450SZ,股票代码002450在沪深A股标准库中不存在
002464SZ,股票代码002464在沪深A股标准库中不存在
002473SZ,股票代码002473在沪深A股标准库中不存在
002502SZ,股票代码002502在沪深A股标准库中不存在
002499SZ,股票代码002499在沪深A股标准库中不存在
002503SZ,股票代码002503在沪深A股标准库中不存在
002504SZ,股票代码002504在沪深A股标准库中不存在
002509SZ,股票代码002509在沪深A股标准库中不存在
002505SZ,股票代码002505在沪深A股标准库中不存在
002604SZ,股票代码002604在沪深A股标准库中不存在
002610SZ,股票代码002610在沪深A股标准库中不存在
002619SZ,股票代码002619在沪深A股标准库中不存在
002618SZ,股票代码002618在沪深A股标准库中不存在
002621SZ,股票代码002621在沪深A股标准库中不存在
002665SZ,股票代码002665在沪深A股标准库中不存在
002684SZ,股票代码002684在沪深A股标准库中不存在
002699SZ,股票代码002699在沪深A股标准库中不存在
002711SZ,股票代码002711在沪深A股标准库中不存在
002740SZ,股票代码002740在沪深A股标准库中不存在
002750SZ,股票代码002750在沪深A股标准库中不存在
002751SZ,股票代码002751在沪深A股标准库中不存在
002770SZ,股票代码002770在沪深A股标准库中不存在
002776SZ,股票代码002776在沪深A股标准库中不存在
002781SZ,股票代码002781在沪深A股标准库中不存在
600069SH,股票代码600069在沪深A股标准库中不存在
600074SH,股票代码600074在沪深A股标准库中不存在
600068SH,股票代码600068在沪深A股标准库中不存在
600077SH,股票代码600077在沪深A股标准库中不存在
600070SH,股票代码600070在沪深A股标准库中不存在
600086SH,股票代码600086在沪深A股标准库中不存在
600091SH,股票代码600091在沪深A股标准库中不存在
600090SH,股票代码600090在沪深A股标准库中不存在
600083SH,股票代码600083在沪深A股标准库中不存在
600093SH,股票代码600093在沪深A股标准库中不存在
600122SH,股票代码600122在沪深A股标准库中不存在
600112SH,股票代码600112在沪深A股标准库中不存在
600139SH,股票代码600139在沪深A股标准库中不存在
600145SH,股票代码600145在沪深A股标准库中不存在
600146SH,股票代码600146在沪深A股标准库中不存在
600175SH,股票代码600175在沪深A股标准库中不存在
600200SH,股票代码600200在沪深A股标准库中不存在
600190SH,股票代码600190在沪深A股标准库中不存在
600213SH,股票代码600213在沪深A股标准库中不存在
600209SH,股票代码600209在沪深A股标准库中不存在
600220SH,股票代码600220在沪深A股标准库中不存在
600225SH,股票代码600225在沪深A股标准库中不存在
600242SH,股票代码600242在沪深A股标准库中不存在
600240SH,股票代码600240在沪深A股标准库中不存在
600247SH,股票代码600247在沪深A股标准库中不存在
600275SH,股票代码600275在沪深A股标准库中不存在
600260SH,股票代码600260在沪深A股标准库中不存在
600277SH,股票代码600277在沪深A股标准库中不存在
600290SH,股票代码600290在沪深A股标准库中不存在
600291SH,股票代码600291在沪深A股标准库中不存在
600297SH,股票代码600297在沪深A股标准库中不存在
600306SH,股票代码600306在沪深A股标准库中不存在
600311SH,股票代码600311在沪深A股标准库中不存在
600317SH,股票代码600317在沪深A股标准库中不存在
600321SH,股票代码600321在沪深A股标准库中不存在
600385SH,股票代码600385在沪深A股标准库中不存在
600387SH,股票代码600387在沪深A股标准库中不存在
600393SH,股票代码600393在沪深A股标准库中不存在
600462SH,股票代码600462在沪深A股标准库中不存在
600466SH,股票代码600466在沪深A股标准库中不存在
600485SH,股票代码600485在沪深A股标准库中不存在
600532SH,股票代码600532在沪深A股标准库中不存在
600555SH,股票代码600555在沪深A股标准库中不存在
600565SH,股票代码600565在沪深A股标准库中不存在
600614SH,股票代码600614在沪深A股标准库中不存在
600634SH,股票代码600634在沪深A股标准库中不存在
600652SH,股票代码600652在沪深A股标准库中不存在
600647SH,股票代码600647在沪深A股标准库中不存在
600677SH,股票代码600677在沪深A股标准库中不存在
600687SH,股票代码600687在沪深A股标准库中不存在
600705SH,股票代码600705在沪深A股标准库中不存在
600695SH,股票代码600695在沪深A股标准库中不存在
600701SH,股票代码600701在沪深A股标准库中不存在
600723SH,股票代码600723在沪深A股标准库中不存在
600767SH,股票代码600767在沪深A股标准库中不存在
600766SH,股票代码600766在沪深A股标准库中不存在
600781SH,股票代码600781在沪深A股标准库中不存在
600804SH,股票代码600804在沪深A股标准库中不存在
600811SH,股票代码600811在沪深A股标准库中不存在
600823SH,股票代码600823在沪深A股标准库中不存在
600837SH,股票代码600837在沪深A股标准库中不存在
600836SH,股票代码600836在沪深A股标准库中不存在
600856SH,股票代码600856在沪深A股标准库中不存在
600870SH,股票代码600870在沪深A股标准库中不存在
600890SH,股票代码600890在沪深A股标准库中不存在
600891SH,股票代码600891在沪深A股标准库中不存在
600896SH,股票代码600896在沪深A股标准库中不存在
600898SH,股票代码600898在沪深A股标准库中不存在
600978SH,股票代码600978在沪深A股标准库中不存在
601028SH,股票代码601028在沪深A股标准库中不存在
601258SH,股票代码601258在沪深A股标准库中不存在
601558SH,股票代码601558在沪深A股标准库中不存在
601989SH,股票代码601989在沪深A股标准库中不存在
603003SH,股票代码603003在沪深A股标准库中不存在
603133SH,股票代码603133在沪深A股标准库中不存在
603157SH,股票代码603157在沪深A股标准库中不存在
603388SH,股票代码603388在沪深A股标准库中不存在
603555SH,股票代码603555在沪深A股标准库中不存在
603603SH,股票代码603603在沪深A股标准库中不存在
603963SH,股票代码603963在沪深A股标准库中不存在
603996SH,股票代码603996在沪深A股标准库中不存在
