股票代码,最新时间,当前价格,趋势代码,趋势名称,key_high,key_low,n_low,n_high,rally_high,rally_low,secondary_low,secondary_high,break_low,break_high
000425SZ,2026-03-27 15:00:00,10.32,down_natural,自然回升,12.9,9.99,11.55,10.71,12.49,10.55,11.56,11.43,11.25,11.77
000301SZ,2026-03-27 15:00:00,10.76,down_natural,自然回升,14.7,10.07,12.76,11.05,13.56,11.5,12.76,11.5,12.45,9.05
000088SZ,2026-03-27 15:00:00,4.58,up_secondary,次级回撤,5.45,4.36,4.36,4.85,4.74,4.53,4.37,4.84,4.36,4.91
000408SZ,2026-03-27 15:00:00,80.5,down_natural,自然回升,97.28,70.0,87.0,81.82,94.4,77.66,87.01,83.38,85.01,84.3
000411SZ,2026-03-27 15:00:00,10.83,up_rally,回升,14.36,11.38,10.22,13.47,10.84,12.66,,13.47,12.02,13.87
000410SZ,2026-03-27 15:00:00,6.58,down,下跌趋势,9.15,6.35,7.02,7.33,8.62,6.28,7.03,7.24,6.81,7.49
000415SZ,2026-03-27 15:00:00,4.37,down_natural,自然回升,5.6,3.87,5.1,4.44,5.44,4.57,5.11,4.66,4.95,3.07
000417SZ,2026-03-27 15:00:00,6.81,down_natural,自然回升,9.49,6.36,7.93,6.87,8.79,5.78,7.94,6.92,7.75,6.97
000419SZ,2026-03-27 15:00:00,5.81,down_natural,自然回升,7.05,5.39,6.26,5.88,6.78,5.95,6.28,5.95,6.1,6.78
000420SZ,2026-03-27 15:00:00,4.83,up_rally,回升,5.59,4.2,4.28,5.3,4.94,4.78,,5.29,4.25,5.34
000422SZ,2026-03-27 15:00:00,17.27,up_rally,回升,20.2,13.51,15.46,17.35,17.59,14.76,16.1,17.18,14.01,17.78
000423SZ,2026-03-27 15:00:00,55.87,down_break,破碎,64.26,46.09,59.7,56.55,63.57,51.67,59.7,55.09,57.91,57.09
000428SZ,2026-03-27 15:00:00,3.97,up_secondary,次级回撤,4.32,3.07,3.08,3.4,4.02,3.25,3.48,3.45,3.73,3.49
000429SZ,2026-03-27 15:00:00,12.88,down_break,破碎,14.98,10.54,12.83,12.78,14.79,11.21,12.84,12.77,12.45,13.03
000430SZ,2026-03-27 15:00:00,7.32,up_secondary,次级回撤,10.09,7.4,6.6,9.42,10.09,8.81,7.0,9.37,7.76,9.6
000498SZ,2026-03-27 15:00:00,5.75,down_secondary,次级回升,6.11,4.81,5.53,7.08,6.03,5.36,5.54,6.5,5.37,5.9
000488SZ,2026-03-27 15:00:00,2.87,down_secondary,次级回升,3.19,2.65,2.83,2.87,3.02,2.69,2.83,2.87,2.76,2.31
000501SZ,2026-03-27 15:00:00,8.43,down_natural,自然回升,11.39,7.91,10.2,8.6,10.96,9.44,10.21,10.32,9.97,10.48
000503SZ,2026-03-27 15:00:00,7.99,down_natural,自然回升,11.61,7.58,9.95,8.23,11.15,8.34,10.02,8.38,9.66,11.08
000504SZ,2026-03-27 15:00:00,10.07,up_rally,回升,10.52,8.6,9.4,9.8,10.18,9.05,8.53,9.79,9.25,10.04
000505SZ,2026-03-27 15:00:00,6.92,down_natural,自然回升,9.35,6.29,7.15,6.95,7.98,6.87,7.2,7.65,6.96,7.74
000507SZ,2026-03-27 15:00:00,5.79,down_secondary,次级回升,6.58,5.08,5.73,5.93,6.28,5.32,5.74,5.92,5.56,5.87
000506SZ,2026-03-27 15:00:00,16.43,down_rally,回撤,23.83,15.14,19.18,17.05,20.63,15.75,19.19,16.0,18.7,20.7
000509SZ,2026-03-27 15:00:00,4.28,up_natural,自然回撤,4.84,3.21,4.2,3.77,4.57,3.5,4.1,3.74,4.09,3.84
000513SZ,2026-03-27 15:00:00,34.07,down,下跌趋势,44.87,32.45,39.26,35.82,42.58,33.57,39.51,33.57,38.1,41.0
000510SZ,2026-03-27 15:00:00,14.86,down_secondary,次级回升,23.5,13.78,19.68,15.69,21.03,13.89,19.68,15.2,19.68,16.66
000514SZ,2026-03-27 15:00:00,4.81,down_natural,自然回升,6.95,4.39,5.17,4.92,5.79,4.78,5.18,4.81,5.03,5.81
000516SZ,2026-03-27 15:00:00,5.17,up_secondary,次级回撤,6.19,4.27,4.46,5.6,5.53,4.91,4.56,5.5,4.35,5.63
000517SZ,2026-03-27 15:00:00,1.99,down_secondary,次级回升,2.32,1.71,1.95,2.41,2.24,1.86,1.96,2.03,1.9,2.08
000518SZ,2026-03-27 15:00:00,2.95,up_natural,自然回撤,3.1,2.33,2.81,2.88,,2.5,,2.87,2.37,2.96
000519SZ,2026-03-27 15:00:00,17.25,down_rally,回撤,21.8,15.58,19.4,17.77,21.06,16.67,19.41,16.67,18.82,20.66
000520SZ,2026-03-27 15:00:00,4.21,down_natural,自然回升,5.34,3.97,4.33,4.33,5.32,4.23,4.34,4.78,4.21,4.89
000521SZ,2026-03-27 15:00:00,6.1,down_natural,自然回升,9.68,5.8,8.12,6.21,9.25,6.38,8.13,6.81,7.93,8.18
000523SZ,2026-03-27 15:00:00,3.51,down_natural,自然回升,4.41,3.25,3.95,3.51,4.19,3.52,3.95,3.53,3.91,3.96
000524SZ,2026-03-27 15:00:00,11.93,down_natural,自然回升,15.3,10.77,11.64,12.26,13.68,13.52,11.65,14.43,11.51,14.9
000525SZ,2026-03-27 15:00:00,6.04,up_secondary,次级回撤,10.47,4.88,5.37,6.55,7.5,5.26,5.72,6.52,5.37,6.74
000526SZ,2026-03-27 15:00:00,31.57,down_natural,自然回升,42.99,30.66,33.68,32.6,35.88,36.75,33.69,41.5,32.84,42.8
000528SZ,2026-03-27 15:00:00,9.35,down_natural,自然回升,13.56,8.95,9.32,9.62,13.02,10.4,9.49,11.45,9.05,11.81
000529SZ,2026-03-27 15:00:00,5.75,down_natural,自然回升,6.58,5.41,5.81,5.75,6.57,6.05,5.82,6.42,5.73,6.47
000530SZ,2026-03-27 15:00:00,6.05,down_natural,自然回升,8.3,5.61,7.45,6.16,8.27,6.08,7.51,6.28,7.25,7.69
000548SZ,2026-03-27 15:00:00,5.39,down_natural,自然回升,5.89,4.94,5.42,5.6,5.75,5.14,5.42,5.94,5.27,6.05
000551SZ,2026-03-27 15:00:00,13.25,down_rally,回撤,16.3,12.51,14.37,13.8,15.99,12.95,14.4,12.95,13.94,16.06
000531SZ,2026-03-27 15:00:00,8.02,up_natural,自然回撤,8.56,5.91,7.95,7.51,8.25,7.1,,7.53,6.11,7.73
000532SZ,2026-03-27 15:00:00,13.45,down,下跌趋势,19.02,13.09,15.55,14.95,16.68,13.7,15.56,14.67,15.1,15.5
000533SZ,2026-03-27 15:00:00,15.28,up_natural,自然回撤,17.99,15.92,14.83,17.2,,16.01,,17.13,17.8,17.68
000534SZ,2026-03-27 15:00:00,38.3,down_natural,自然回升,49.14,36.8,45.29,39.6,48.13,37.3,45.29,40.2,44.0,38.49
000536SZ,2026-03-27 15:00:00,4.32,down_natural,自然回升,6.6,4.21,6.04,4.48,6.48,4.31,6.05,5.12,6.0,5.02
000538SZ,2026-03-27 15:00:00,54.4,up_secondary,次级回撤,62.07,44.88,53.56,58.0,60.69,49.0,53.9,57.92,53.56,59.57
000537SZ,2026-03-27 15:00:00,11.44,up_secondary,次级回撤,13.76,8.2,10.72,11.29,12.76,10.52,11.36,11.37,10.72,12.4
000543SZ,2026-03-27 15:00:00,9.11,up_rally,回升,9.43,6.65,7.98,7.23,9.13,6.76,7.92,7.29,7.8,7.44
000541SZ,2026-03-27 15:00:00,5.67,down,下跌趋势,7.45,5.42,6.43,6.53,6.85,5.87,6.43,6.34,6.24,6.59
000539SZ,2026-03-27 15:00:00,6.94,down_rally,回撤,8.14,6.85,7.41,7.46,7.98,6.9,7.49,7.01,7.41,5.92
000544SZ,2026-03-27 15:00:00,8.65,down_secondary,次级回升,9.09,7.18,7.65,10.1,8.12,7.6,7.65,9.56,7.43,7.24
000546SZ,2026-03-27 15:00:00,6.61,down_natural,自然回升,7.07,5.29,5.96,6.61,6.44,5.31,5.97,5.31,5.79,6.15
000545SZ,2026-03-27 15:00:00,3.47,down_break,破碎,4.33,3.13,3.9,3.45,4.14,3.23,3.9,3.45,3.85,3.54
000547SZ,2026-03-27 15:00:00,27.36,down_secondary,次级回升,34.3,24.83,30.09,28.8,32.35,26.8,30.11,28.43,29.2,30.0
000550SZ,2026-03-27 15:00:00,17.45,down_natural,自然回升,22.8,16.51,19.8,17.84,22.5,17.46,19.81,17.68,19.29,20.92
000553SZ,2026-03-27 15:00:00,6.48,up_rally,回升,7.25,5.42,5.49,6.33,6.48,5.88,,6.25,6.4,6.54
000554SZ,2026-03-27 15:00:00,8.52,down,下跌趋势,11.94,8.12,10.15,9.48,11.42,8.77,10.35,8.77,10.15,7.43
000552SZ,2026-03-27 15:00:00,2.8,up_rally,回升,2.92,2.3,2.68,2.59,2.92,2.35,,2.58,2.51,2.64
000557SZ,2026-03-27 15:00:00,4.7,down_natural,自然回升,6.33,4.45,4.77,4.83,5.35,5.66,4.78,6.02,4.63,6.21
000555SZ,2026-03-27 15:00:00,15.54,down,下跌趋势,23.03,14.85,20.07,20.31,22.0,15.67,20.16,16.9,19.58,16.11
000558SZ,2026-03-27 15:00:00,4.6,down_natural,自然回升,6.18,4.2,5.06,4.64,5.61,4.55,5.07,4.55,5.06,5.63
000559SZ,2026-03-27 15:00:00,15.43,down_natural,自然回升,21.8,14.64,18.46,15.95,20.96,16.52,18.48,18.62,17.91,12.38
000560SZ,2026-03-27 15:00:00,2.92,down_natural,自然回升,3.64,2.85,3.24,3.03,3.62,3.16,3.25,3.41,3.16,3.34
000561SZ,2026-03-27 15:00:00,9.58,down_natural,自然回升,14.53,9.03,12.51,9.69,14.05,11.2,12.54,11.59,12.17,12.45
000563SZ,2026-03-27 15:00:00,3.38,down,下跌趋势,3.98,3.22,3.51,3.68,3.73,3.36,3.51,3.45,3.41,3.82
000564SZ,2026-03-27 15:00:00,1.95,down_rally,回撤,3.16,1.92,2.41,2.04,2.78,1.91,2.42,1.91,2.34,2.46
000567SZ,2026-03-27 15:00:00,5.28,down_natural,自然回升,8.39,5.03,7.34,5.4,7.86,5.95,7.38,7.07,7.14,6.92
000565SZ,2026-03-27 15:00:00,7.45,down_natural,自然回升,9.4,6.8,7.13,7.47,9.22,7.77,7.24,8.35,6.92,8.6
000566SZ,2026-03-27 15:00:00,5.49,down_natural,自然回升,9.24,5.02,7.9,5.5,8.61,6.52,7.91,7.27,7.7,8.6
000570SZ,2026-03-27 15:00:00,5.6,up_rally,回升,6.45,4.61,5.15,5.82,5.66,5.34,5.64,5.8,5.33,5.98
000571SZ,2026-03-27 15:00:00,5.96,down,下跌趋势,7.95,5.79,7.1,5.78,7.91,5.42,7.11,5.75,6.89,5.95
000572SZ,2026-03-27 15:00:00,6.19,down_secondary,次级回升,12.03,5.76,9.72,6.55,11.1,5.97,9.8,6.47,9.45,10.71
000568SZ,2026-03-27 15:00:00,103.78,down,下跌趋势,145.88,101.2,109.4,110.33,127.91,103.0,110.35,103.7,106.81,134.58
000573SZ,2026-03-27 15:00:00,4.24,down_natural,自然回升,4.85,3.73,4.12,4.24,4.5,4.03,4.13,4.28,4.0,4.42
000586SZ,2026-03-27 15:00:00,15.02,down_natural,自然回升,17.0,13.56,14.82,15.37,15.99,12.69,14.83,13.93,14.48,14.31
000591SZ,2026-03-27 15:00:00,6.09,down_rally,回撤,6.8,5.68,5.95,6.58,6.4,5.95,5.97,6.18,5.78,5.87
000590SZ,2026-03-27 15:00:00,12.03,up_secondary,次级回撤,12.7,10.54,11.07,11.56,12.49,10.83,11.16,11.61,12.16,12.0
000593SZ,2026-03-27 15:00:00,15.33,down_rally,回撤,17.0,13.03,13.89,15.61,15.7,14.6,14.01,14.67,13.48,16.9
000592SZ,2026-03-27 15:00:00,10.56,up_natural,自然回撤,11.35,9.49,10.51,10.62,,9.83,,10.58,11.48,10.92
000595SZ,2026-03-27 15:00:00,6.44,up_rally,回升,6.71,5.86,5.79,6.46,6.6,6.0,,6.44,6.23,6.65
000597SZ,2026-03-27 15:00:00,5.22,down_natural,自然回升,6.68,4.65,6.19,5.23,6.66,5.17,6.2,5.25,6.01,5.82
000596SZ,2026-03-27 15:00:00,104.26,down,下跌趋势,177.01,101.82,149.01,140.25,170.61,121.59,149.05,131.33,144.72,152.78
000598SZ,2026-03-27 15:00:00,6.86,up_rally,回升,7.64,6.43,6.47,7.21,6.96,6.57,6.57,7.2,6.47,7.41
000599SZ,2026-03-27 15:00:00,5.93,down_rally,回撤,8.1,5.73,7.1,6.3,7.64,5.92,7.16,5.92,6.89,6.97
000576SZ,2026-03-27 15:00:00,9.42,down_natural,自然回升,11.99,8.53,10.21,9.45,11.61,9.77,10.22,10.16,9.92,11.62
000582SZ,2026-03-27 15:00:00,10.88,up_rally,回升,11.75,8.11,10.16,9.04,11.04,8.41,10.08,9.03,8.92,9.31
000581SZ,2026-03-27 15:00:00,20.63,down_natural,自然回升,26.0,20.01,23.31,21.29,25.92,20.57,23.32,21.93,22.66,22.92
000589SZ,2026-03-27 15:00:00,4.65,down_natural,自然回升,5.31,4.34,4.96,4.68,5.29,4.25,4.97,4.54,4.82,4.68
000600SZ,2026-03-27 15:00:00,10.14,up_secondary,次级回撤,10.99,4.92,9.06,5.48,10.65,4.95,9.9,5.47,9.06,5.57
000610SZ,2026-03-27 15:00:00,9.24,down_natural,自然回升,16.35,8.4,11.85,9.37,14.0,9.01,12.25,9.1,11.85,10.79
000603SZ,2026-03-27 15:00:00,38.48,down_rally,回撤,56.96,35.09,47.13,39.65,50.22,36.78,47.13,37.26,46.06,50.77
000608SZ,2026-03-27 15:00:00,4.28,up,上升趋势,4.38,3.27,3.74,3.53,4.07,3.3,,3.52,3.53,3.63
000607SZ,2026-03-27 15:00:00,4.23,down_natural,自然回升,5.5,3.92,5.08,4.29,5.43,4.92,5.1,5.3,4.95,4.91
000601SZ,2026-03-27 15:00:00,7.8,down_secondary,次级回升,8.5,7.33,7.98,9.0,8.47,7.68,7.98,8.29,7.78,6.89
000605SZ,2026-03-27 15:00:00,7.07,up_rally,回升,9.4,6.81,6.37,7.38,7.21,6.85,6.48,7.37,6.37,7.6
000612SZ,2026-03-27 15:00:00,11.69,down_secondary,次级回升,15.6,10.63,12.56,11.75,15.49,11.02,12.58,11.77,12.21,9.97
000617SZ,2026-03-27 15:00:00,10.64,up_rally,回升,11.1,8.78,10.2,9.94,10.9,9.33,9.95,9.92,9.76,10.18
000609SZ,2026-03-27 15:00:00,9.2,up_rally,回升,11.54,7.16,8.7,7.64,9.45,7.16,8.82,7.62,8.7,7.84
000615SZ,2026-03-27 15:00:00,3.34,down_natural,自然回升,4.48,3.04,3.99,3.34,4.43,3.11,4.1,3.32,3.99,4.44
000619SZ,2026-03-27 15:00:00,5.97,down_natural,自然回升,8.58,5.4,6.19,6.02,6.63,5.87,6.22,6.57,6.01,6.95
000623SZ,2026-03-27 15:00:00,17.54,down,下跌趋势,22.08,16.84,18.91,19.98,20.93,18.86,18.92,20.0,18.36,20.56
000625SZ,2026-03-27 15:00:00,10.01,down,下跌趋势,13.84,9.9,11.51,13.28,12.28,12.0,11.52,13.26,11.17,13.66
000620SZ,2026-03-27 15:00:00,2.95,down_rally,回撤,3.84,2.77,3.45,3.51,3.7,2.84,3.46,3.14,3.35,3.03
000628SZ,2026-03-27 15:00:00,49.0,down,下跌趋势,59.0,47.47,50.8,51.46,57.5,47.74,50.81,48.37,50.04,47.47
000632SZ,2026-03-27 15:00:00,4.75,down_rally,回撤,6.86,4.39,5.51,5.02,5.99,4.66,5.52,4.71,5.35,6.5
000633SZ,2026-03-27 15:00:00,6.72,down_natural,自然回升,8.31,6.06,7.72,6.72,8.23,7.46,7.72,7.67,7.49,7.95
000626SZ,2026-03-27 15:00:00,8.35,down_natural,自然回升,9.03,7.47,8.14,8.35,8.77,7.51,8.18,8.25,7.91,8.42
000630SZ,2026-03-27 15:00:00,5.86,down_natural,自然回升,9.19,5.54,8.23,6.03,9.19,6.84,8.27,7.92,8.23,5.98
000629SZ,2026-03-27 15:00:00,3.43,down_natural,自然回升,4.49,3.19,3.58,3.46,4.32,2.46,3.59,2.75,3.48,2.84
000635SZ,2026-03-27 15:00:00,8.95,down_natural,自然回升,10.93,7.83,9.74,9.05,10.7,7.9,9.81,7.9,9.49,10.4
000631SZ,2026-03-27 15:00:00,3.93,down_secondary,次级回升,3.97,3.14,3.71,4.45,4.0,3.43,3.72,4.14,3.61,2.96
000949SZ,2026-03-13 15:00:00,7.51,up_rally,回升,7.91,6.67,7.15,7.6,7.78,6.73,,7.59,6.8,7.76
000952SZ,2026-03-13 15:00:00,7.54,down_secondary,次级回升,10.42,6.91,9.73,8.5,10.42,7.25,9.73,7.82,9.73,8.69
000636SZ,2026-03-27 15:00:00,19.61,down,下跌趋势,27.5,18.91,23.09,20.65,24.7,19.33,23.1,19.41,23.09,17.35
000937SZ,2026-03-13 15:00:00,5.96,up,上升趋势,6.11,5.22,5.62,5.78,6.08,5.32,5.68,5.77,5.62,5.95
000948SZ,2026-03-13 15:00:00,16.16,down_natural,自然回升,22.23,15.72,19.35,16.9,21.5,16.58,19.36,19.16,18.82,19.42
000938SZ,2026-03-13 15:00:00,25.8,down_rally,回撤,32.16,23.23,29.91,27.75,32.06,25.72,29.94,25.9,29.1,30.0
000959SZ,2026-03-13 15:00:00,5.34,up_secondary,次级回撤,5.85,3.91,5.27,4.42,5.84,4.06,5.28,4.41,4.51,4.54
000957SZ,2026-03-13 15:00:00,11.21,up_rally,回升,12.31,10.6,10.76,11.71,11.64,10.88,,11.7,11.71,12.02
000960SZ,2026-03-13 15:00:00,36.89,down,下跌趋势,48.8,36.68,41.36,40.64,44.54,36.86,41.4,38.16,40.22,40.0
000950SZ,2026-03-13 15:00:00,5.78,down,下跌趋势,6.77,5.59,6.06,6.68,6.46,5.81,6.06,6.66,5.89,6.75
000955SZ,2026-03-13 15:00:00,5.27,down,下跌趋势,8.77,5.25,7.15,5.89,8.23,5.45,7.21,5.88,6.96,5.92
000977SZ,2026-03-13 15:00:00,61.79,down_rally,回撤,71.6,57.89,64.0,64.84,68.06,60.79,64.0,60.79,62.14,66.96
000972SZ,2026-03-13 15:00:00,3.68,down_secondary,次级回升,4.39,3.43,3.74,3.91,4.05,3.6,3.75,3.84,3.63,3.95
000958SZ,2026-03-13 15:00:00,6.81,down_secondary,次级回升,4.68,3.47,4.03,10.64,4.3,5.64,4.04,8.18,3.92,3.9
000968SZ,2026-03-13 15:00:00,9.46,down_rally,回撤,11.4,9.12,10.01,10.27,10.95,9.42,10.11,9.65,10.01,11.08
000963SZ,2026-03-13 15:00:00,34.93,down_natural,自然回升,47.36,33.3,42.11,35.63,46.6,38.02,42.12,38.03,41.68,42.74
000953SZ,2026-03-13 15:00:00,7.36,down_secondary,次级回升,8.74,6.83,7.75,8.23,8.57,6.99,8.02,7.48,7.53,8.28
000966SZ,2026-03-13 15:00:00,4.95,down_natural,自然回升,6.16,4.21,4.9,5.22,5.69,4.3,4.92,4.35,4.79,5.02
000967SZ,2026-03-13 15:00:00,9.0,up_natural,自然回撤,9.7,6.3,8.97,7.6,8.62,6.88,,7.56,6.47,7.78
000951SZ,2026-03-13 15:00:00,22.42,up,上升趋势,23.45,16.3,,22.37,,18.94,,22.36,17.12,22.58
000962SZ,2026-03-13 15:00:00,48.71,down,下跌趋势,59.95,48.53,55.01,57.78,58.98,50.36,55.09,57.73,53.5,58.0
000973SZ,2026-03-13 15:00:00,17.12,up,上升趋势,17.8,11.59,12.78,12.7,14.86,11.73,12.78,12.6,12.44,13.08
000965SZ,2026-03-13 15:00:00,4.01,down_secondary,次级回升,4.84,3.78,4.24,4.22,4.68,3.8,4.25,4.08,4.12,4.7
000969SZ,2026-03-13 15:00:00,22.65,down,下跌趋势,31.12,22.23,26.34,24.34,29.0,22.87,26.36,22.87,25.56,22.86
000975SZ,2026-03-13 15:00:00,32.78,down_natural,自然回升,33.94,29.52,31.34,33.85,33.56,29.42,31.34,31.38,30.41,32.4
000980SZ,2026-03-13 15:00:00,2.68,down_rally,回撤,4.36,2.61,3.61,2.89,3.86,2.63,3.62,2.71,3.61,3.75
000998SZ,2026-03-13 15:00:00,10.6,up_secondary,次级回撤,11.16,9.16,10.17,10.73,11.09,9.68,10.36,10.72,10.75,11.0
000983SZ,2026-03-13 15:00:00,7.45,up_rally,回升,7.7,6.31,6.94,7.24,7.62,6.7,7.05,7.23,6.94,7.4
000988SZ,2026-03-13 15:00:00,118.69,down,下跌趋势,141.41,118.59,123.5,83.11,139.6,77.34,123.61,83.05,119.85,85.6
000987SZ,2026-03-13 15:00:00,8.98,down_natural,自然回升,12.24,8.88,11.03,9.42,11.89,10.01,11.03,10.99,10.7,11.32
000993SZ,2026-03-13 15:00:00,14.15,up_natural,自然回撤,15.91,11.35,13.92,14.44,15.36,13.55,,14.43,13.31,14.81
000985SZ,2026-03-13 15:00:00,20.4,up_break,破碎,25.0,16.68,20.26,21.9,22.6,18.9,20.27,21.88,20.2,22.5
000970SZ,2026-03-13 15:00:00,13.47,up_rally,回升,15.55,12.27,12.95,13.84,14.07,12.58,,13.83,12.92,14.24
000989SZ,2026-03-13 15:00:00,9.06,down_natural,自然回升,13.3,8.39,10.95,9.19,12.93,8.65,10.96,9.36,10.66,9.56
000981SZ,2026-03-13 15:00:00,4.21,down,下跌趋势,5.2,4.2,4.52,4.63,5.05,4.28,4.6,4.33,4.52,4.99
000978SZ,2026-03-13 15:00:00,7.23,up_rally,回升,7.54,6.12,6.75,6.93,7.35,6.46,,6.92,6.59,7.13
000997SZ,2026-03-13 15:00:00,22.51,down,下跌趋势,34.0,22.35,30.72,31.6,33.41,24.71,30.73,29.66,29.8,30.67
000990SZ,2026-03-13 15:00:00,10.06,up,上升趋势,10.58,6.74,8.58,8.02,9.7,7.13,8.55,8.01,7.68,8.24
001896SZ,2026-03-13 15:00:00,15.44,down,下跌趋势,17.88,15.44,16.5,6.61,17.52,6.04,16.5,6.55,16.5,6.77
001696SZ,2026-03-13 15:00:00,22.17,down_rally,回撤,28.0,20.03,24.73,25.86,26.48,21.92,24.76,23.75,23.99,25.05
001979SZ,2026-03-13 15:00:00,9.6,up_rally,回升,11.1,8.48,9.28,9.55,9.93,8.97,,9.53,8.8,9.83
001965SZ,2026-03-13 15:00:00,10.1,down_natural,自然回升,14.22,9.38,11.87,10.3,14.03,9.57,11.88,9.92,11.53,10.1
002001SZ,2026-03-13 15:00:00,38.67,up,上升趋势,40.19,19.52,35.0,22.99,37.62,21.03,23.17,22.97,22.95,23.59
002005SZ,2026-03-13 15:00:00,2.98,down_secondary,次级回升,3.23,2.43,2.75,3.2,2.94,2.84,2.76,3.19,2.67,3.23
002006SZ,2026-03-13 15:00:00,19.58,down_rally,回撤,25.05,18.45,19.41,21.2,24.69,19.35,19.43,19.53,18.95,22.22
002007SZ,2026-03-13 15:00:00,15.26,down,下跌趋势,18.25,14.94,16.3,16.98,17.93,15.03,16.32,15.96,15.82,17.6
001872SZ,2026-03-13 15:00:00,22.24,up_rally,回升,22.69,17.93,20.52,21.14,22.45,19.26,,21.02,18.93,21.68
000999SZ,2026-03-13 15:00:00,29.12,down_natural,自然回升,50.78,27.65,44.08,30.49,47.0,27.8,44.16,28.8,42.8,45.97
001914SZ,2026-03-13 15:00:00,10.76,down,下跌趋势,13.29,10.4,11.56,12.22,12.42,10.58,11.57,11.99,11.22,12.25
002003SZ,2026-03-13 15:00:00,10.06,down_natural,自然回升,14.6,9.71,12.52,10.36,13.35,9.9,12.52,10.85,12.15,12.05
002004SZ,2026-03-13 15:00:00,5.63,down_natural,自然回升,6.08,5.3,5.7,5.74,6.07,4.82,5.7,5.16,5.55,5.3
002008SZ,2026-03-13 15:00:00,68.7,down_rally,回撤,75.88,64.3,67.46,75.06,74.18,68.0,68.25,70.3,65.65,48.96
002012SZ,2026-03-13 15:00:00,7.15,up_secondary,次级回撤,7.67,5.27,6.95,6.51,7.62,6.22,7.11,6.6,6.15,6.7
002010SZ,2026-03-13 15:00:00,6.31,down_rally,回撤,6.66,5.55,6.2,7.39,6.66,6.22,6.21,6.89,6.02,5.83
002021SZ,2026-03-13 15:00:00,3.44,up_secondary,次级回撤,3.89,2.36,3.23,2.91,3.74,2.68,3.35,2.9,2.88,2.99
002017SZ,2026-03-13 15:00:00,20.63,down_natural,自然回升,29.99,20.41,23.97,21.8,26.31,22.2,24.08,22.2,23.33,22.87
002016SZ,2026-03-13 15:00:00,5.93,up_natural,自然回撤,6.46,5.66,5.82,6.17,,5.73,,6.16,5.89,6.34
002019SZ,2026-03-13 15:00:00,14.45,up,上升趋势,14.73,11.66,12.82,13.28,14.03,12.8,,13.57,14.63,13.68
002025SZ,2026-03-13 15:00:00,54.9,down_rally,回撤,72.33,48.95,59.5,62.08,64.64,54.6,59.66,58.2,58.1,47.73
002020SZ,2026-03-13 15:00:00,16.09,down_natural,自然回升,21.65,15.28,18.69,16.3,20.69,17.91,18.76,20.13,18.19,20.19
002024SZ,2026-03-13 15:00:00,1.51,down,下跌趋势,2.34,1.49,1.67,1.62,2.01,1.52,1.68,1.52,1.62,2.21
002026SZ,2026-03-13 15:00:00,13.86,down_natural,自然回升,17.29,13.54,14.72,14.7,16.39,13.84,14.73,14.71,14.28,15.2
